season,date,reported_time,T_SFC,T_SFC_historical,RH_SFC,RH_SFC_historical,WindMagKmh_SFC,WindMagKmh_SFC_historical,DF_SFC,DF_SFC_historical,KBDI,KBDI_historical,soil_moisture,Curing,Curing_historical,grass_density_3km,forest_density_3km,shrub_density_3km,noveg_density_3km,primary_fuel_type,distance_to_interface,elevation_m,ruggedness_average_3km,building_density_3km,building_density_20km,road_density_km_in_3km,road_distance_m,FFDI,FFDI_historical,GFDI,GFDI_historical,uncontrolled_within_2_hrs,uncontrolled_within_4_hrs,uncontrolled_within_5_ha,uncontrolled_within_100_ha
2007-08,,,,8.2,,88.4,,5.4,,7.62,,45.1,0.2680918276309967,,37.0,0.08488929701050914,0.861238649117437,0.03856749311294766,0.01530456075910619,forest,34,120.0,20.204625,0,27,37.69529456319477,148.9051104165967,,0.75,,0.01,0.0,0.0,0.0,0.0
2007-08,,,,13.0,,65.5,,4.2,,9.99,,125.7,0.07836774736642838,,62.0,0.20360167329864298,0.6841138659320477,0.016835016835016835,0.09544944393429247,forest,11,78.0,1.316875,0,80,57.29700323683448,236.3115857356258,,2.41,,0.12,1.0,1.0,0.0,0.0
2007-08,,,,11.2,,75.8,,9.1,,7.56,,50.6,0.2076042890548706,,69.0,0.4436282012039588,0.5412202836445261,0.0019385776961534538,0.013212937455361683,forest,4,297.0,15.447925,0,204,32.72334172471065,106.04357966798224,,1.49,,0.36,0.0,0.0,0.0,0.0
2007-08,,,,16.7,,54.2,,6.7,,10.0,,158.1,0.3783131241798401,,90.0,0.7951484542393633,0.02782879298030813,0.08573104785225998,0.09129170492806858,grass,1,50.0,0.848675,4,354,130.40402868164938,97.81379385315532,,4.48,,2.28,0.0,0.0,0.0,0.0
2008-09,,,,10.9,,54.2,,21.3,,8.66,,70.1,0.0,,43.0,0.0,0.8501428425670849,0.14636261605958575,0.003494541373329302,forest,195,178.0,12.94015,0,22,18.907946636049317,188.04444632233955,,6.03,,0.21,1.0,1.0,1.0,0.0
2008-09,,,,6.3,,78.2,,6.4,,5.25,,0.1,0.4332800507545471,,52.0,0.2090347923681257,0.18541475359657178,0.0,0.6055504540353025,noveg,0,103.0,4.089525,480,2248,268.4023903349252,20.02166556863572,,0.72,,0.06,0.0,0.0,0.0,0.0
2008-09,,,,10.0,,56.8,,5.8,,10.0,,156.1,0.11993544548749924,,79.0,0.4056473829201102,0.2573206815631058,0.2264819916335068,0.11054994388327727,grass,3,37.0,1.859075,1,329,87.47155268489892,110.56964487109887,,3.14,,0.88,1.0,1.0,0.0,0.0
2008-09,,,,8.8,,68.9,,9.0,,8.35,,61.3,0.011679531075060368,,55.0,0.04948474645444342,0.8012192633404754,0.13791960004081216,0.011376390164268946,forest,11,83.0,10.1866,0,130,22.195326112734467,6.020467619275681,,1.92,,0.15,0.0,0.0,0.0,0.0
2008-09,,,,16.9,,53.9,,10.9,,10.0,,150.2,0.1542600393295288,,86.0,0.2482399755127028,0.5859096010611162,0.11549841852872156,0.05035200489745939,forest,3,37.0,2.313575,0,27,23.92698312933486,686.1491083409786,,5.47,,3.04,1.0,0.0,0.0,0.0
2008-09,,,,6.2,,99.1,,2.9,,4.07,,0.4,0.19458024203777313,,25.0,0.834583205795327,0.04336292215080094,0.09509233751657994,0.02696153453729215,grass,0,46.0,7.877075,3,269,46.4187654138249,2.7655107539548753,,0.23,,0.0,0.0,0.0,0.0,0.0
